sampleID	pair		pairing_type	inter_vs_intra	dvh	D.line	D.generation	D.epd	D.colony	mmp	M.line	M.generation	M.epd	M.colony	rate	yield	source	used.model	picked.model	measure	avg.rate	sd.rate	avg.yield	sd.yield	notes	isgood	wasmodified	windowsize	rate_Kris	rate_Kris_sd	OD_Kris	OD_Kris_sd			
5/6/2019-sAP-10	UE3.152.09.D02 & Mmp Anc. (M1)	UE3.152.09.D02 & Mmp Anc. (M1)Jess	Dev_Man	D9_M0	UE3.152.09.D02	UE3	152	9	D02	AN.01.M.NA	AN	1	M	An	0.014773463	0.374347256	Jess	richards	richards	OD600	0.014335817	0.003080651	0.378175153	0.011054572		0	0	22	0.086387166	0.001402635	0.416726	0.004893693	9	0.086387166	0.416726
5/6/2019-sAP-11	UE3.152.09.D02 & Mmp Anc. (M1)	UE3.152.09.D02 & Mmp Anc. (M1)Jess	Dev_Man	D9_M0	UE3.152.09.D02	UE3	152	9	D02	AN.01.M.NA	AN	1	M	An	0.015638267	0.360287441	Jess	richards	richards	OD600	0.014335817	0.003080651	0.378175153	0.011054572		0	0	58	0.089514674	0.001898989	0.43039	0.034682763	9	0.089514674	0.43039
5/6/2019-sAP-12	UE3.152.09.D02 & Mmp Anc. (M1)	UE3.152.09.D02 & Mmp Anc. (M1)Jess	Dev_Man	D9_M0	UE3.152.09.D02	UE3	152	9	D02	AN.01.M.NA	AN	1	M	An	0.015239713	0.383305298	Jess	richards	richards	OD600	0.014335817	0.003080651	0.378175153	0.011054572		0	0	35	0.067131266	0.000739986	0.425858	0.022659656	9	0.067131266	0.425858
5/6/2019-sAP-14	UE3.152.09.D02 & Mmp Anc. (M1)	UE3.152.09.D02 & Mmp Anc. (M1)Jess	Dev_Man	D9_M0	UE3.152.09.D02	UE3	152	9	D02	AN.01.M.NA	AN	1	M	An	0.015752606	0.389472486	Jess	richards	richards	OD600	0.014335817	0.003080651	0.378175153	0.011054572		0	0	23	0.070453193	0.003072983	0.44655	0.086067451	9	0.070453193	0.44655
5/6/2019-sAP-15	UE3.152.09.D02 & Mmp Anc. (M1)	UE3.152.09.D02 & Mmp Anc. (M1)Jess	Dev_Man	D9_M0	UE3.152.09.D02	UE3	152	9	D02	AN.01.M.NA	AN	1	M	An	0.016163015	0.371661488	Jess	richards	richards	OD600	0.014335817	0.003080651	0.378175153	0.011054572		0	1	30	0.087164973	0.003207627	0.42871	0.049883151	9	0.087164973	0.42871
5/6/2019-sAP-16	UE3.152.09.D02 & Mmp Anc. (M1)	UE3.152.09.D02 & Mmp Anc. (M1)Jess	Dev_Man	D9_M0	UE3.152.09.D02	UE3	152	9	D02	AN.01.M.NA	AN	1	M	An	0.007131391	0.393916858	Jess	richards	richards	OD600	0.014335817	0.003080651	0.378175153	0.011054572		0	1	50	0.073729596	0.003886563	0.415646	0.037905336	9	0.073729596	0.415646
5/6/2019-sAP-17	UE3.152.09.D03 & Mmp Anc. (M1)	UE3.152.09.D03 & Mmp Anc. (M1)Jess	Dev_Man	D9_M0	UE3.152.09.D03	UE3	152	9	D03	AN.01.M.NA	AN	1	M	An	0.012026086	0.347523778	Jess	richards	richards	OD600	0.010938926	0.000721665	0.338899434	0.014207681		0	1	140	0.077819721	0.00226368	0.347832	0.002839537	12	0.077819721	0.347832
5/6/2019-sAP-19	UE3.152.09.D03 & Mmp Anc. (M1)	UE3.152.09.D03 & Mmp Anc. (M1)Jess	Dev_Man	D9_M0	UE3.152.09.D03	UE3	152	9	D03	AN.01.M.NA	AN	1	M	An	0.010994813	0.326151969	Jess	richards	richards	OD600	0.010938926	0.000721665	0.338899434	0.014207681		0	1	160	0.072584895	0.002032503	0.330536	0.003756092	12	0.072584895	0.330536
5/6/2019-sAP-20	UE3.152.09.D03 & Mmp Anc. (M1)	UE3.152.09.D03 & Mmp Anc. (M1)Jess	Dev_Man	D9_M0	UE3.152.09.D03	UE3	152	9	D03	AN.01.M.NA	AN	1	M	An	0.010945803	0.356805059	Jess	richards	richards	OD600	0.010938926	0.000721665	0.338899434	0.014207681		0	1	150	0.100544683	0.001874531	0.36633	0.006823397	12	0.100544683	0.36633
5/6/2019-sAP-21	UE3.152.09.D03 & Mmp Anc. (M1)	UE3.152.09.D03 & Mmp Anc. (M1)Jess	Dev_Man	D9_M0	UE3.152.09.D03	UE3	152	9	D03	AN.01.M.NA	AN	1	M	An	0.011431902	0.345153511	Jess	richards	richards	OD600	0.010938926	0.000721665	0.338899434	0.014207681		0	1	60	0.089383238	0.002285897	0.355338	0.006436184	12	0.089383238	0.355338
