Simulation no	Total Gscore
339	545.7989278
340	545.7989278
341	580.716668
342	580.716668
343	557.5734756
344	565.4985123
345	561.2679638
346	561.2679638
347	559.6814369
348	559.6814369
349	542.30443
350	542.30443
351	561.3178367
352	569.2428735
353	545.4399391
354	545.4399391
355	572.6676669
356	572.6676669
357	574.4365872
358	574.4365872
359	565.8650547
360	565.8650547
361	557.6703055
362	557.6703055
363	537.5785966
364	537.5785966
365	574.0115882
366	574.0115882
367	551.6816374
368	551.6816374
369	532.0140815
370	532.0140815
371	580.2378615
372	580.2378615
373	558.5674581
374	558.5674581
375	546.2489914
376	546.2489914
377	558.1893326
378	558.1893326
379	539.9107178
380	539.9107178
381	601.6488817
382	601.6488817
383	574.2949895
384	574.2949895
385	581.6114547
386	581.6114547
387	560.7161011
388	560.7161011
389	545.3037582
390	545.3037582
391	564.6299282
392	564.6299282
393	603.2184454
394	611.1434822
395	578.8115265
396	578.8115265
397	548.8923667
398	548.8923667
399	552.0349801
400	552.0349801
401	530.9810346
402	530.9810346
403	578.8894454
404	578.8894454
405	581.5377974
406	581.5377974
407	563.6754451
408	563.6754451
409	553.0810912
410	553.0810912
411	581.9595016
412	581.9595016
413	563.0275268
414	570.9525636
415	567.4964788
416	567.4964788
417	583.2647349
418	591.1897717
419	572.0871887
420	572.0871887
421	573.2255351
422	573.2255351
423	543.9437606
424	543.9437606
425	571.995992
426	571.995992
427	557.6244103
428	557.6244103
429	590.5899576
430	590.5899576
431	573.024476
432	573.024476
433	579.3960241
434	579.3960241
435	542.7560303
436	542.7560303
437	566.5760926
438	566.5760926
439	566.6845937
440	566.6845937
441	586.8653957
442	586.8653957
443	559.0382623
444	559.0382623
445	591.7403924
446	591.7403924
447	543.9006168
448	543.9006168
449	563.3138886
450	563.3138886
451	561.7231493
452	561.7231493
453	566.5479754
454	566.5479754
455	551.4169
456	551.4169
457	546.1067947
458	546.1067947
459	601.71534
460	601.71534
461	565.2488574
462	565.2488574
463	547.3780065
464	547.3780065
465	581.1231656
466	581.1231656
467	558.6634079
468	558.6634079
469	577.494311
470	577.494311
471	566.5074977
472	566.5074977
473	546.4600794
474	546.4600794
475	577.942413
476	577.942413
477	575.1492622
478	575.1492622
479	555.1039185
480	555.1039185
481	574.5195098
482	574.5195098
483	587.2833339
484	587.2833339
485	583.9614207
486	583.9614207
487	566.8955163
488	566.8955163
489	568.9894913
490	568.9894913
491	579.0987365
492	579.0987365
493	582.4008787
494	582.4008787
495	566.3816467
496	566.3816467
497	539.4066892
498	539.4066892
499	594.86338
500	594.86338
501	549.8815013
502	549.8815013
503	547.6930961
504	547.6930961
505	574.2174506
506	574.2174506
507	547.6996807
508	547.6996807
509	546.101322
510	554.0263587
511	564.4266751
512	564.4266751
513	531.3693419
514	531.3693419
515	566.5917829
516	566.5917829
517	571.2744495
518	571.2744495
519	570.9478799
520	570.9478799
521	564.9124829
522	564.9124829
523	560.6743326
524	560.6743326
525	592.2456964
526	592.2456964
527	555.1228261
528	555.1228261
529	569.6700291
530	577.5950658
531	533.780964
532	533.780964
533	559.340837
534	567.2658738
535	573.9424533
536	573.9424533
537	548.3572047
538	548.3572047
539	545.1312129
540	545.1312129
541	581.7108794
542	581.7108794
543	564.7074104
544	564.7074104
545	575.4841021
546	583.4091389
547	594.8591966
548	594.8591966
549	574.6370435
550	574.6370435
551	569.9596453
552	569.9596453
553	564.6584126
554	564.6584126
555	589.673535
556	589.673535
557	540.0585136
558	540.0585136
559	546.2196696
560	546.2196696
561	564.5081335
562	572.4331702
563	555.0703236
564	555.0703236
565	534.5248472
566	534.5248472
567	575.7581274
568	575.7581274
569	568.2692849
570	568.2692849
571	539.5549279
572	539.5549279
573	567.6072865
574	583.5994239
575	568.8864825
576	568.8864825
577	563.8082948
578	563.8082948
579	562.9384371
580	562.9384371
581	585.5738662
582	585.5738662
583	579.0055165
584	579.0055165
585	555.6568245
586	555.6568245
587	569.3282177
588	569.3282177
589	552.5801651
590	552.5801651
591	554.2618722
592	554.2618722
593	557.8234937
594	557.8234937
595	556.6148617
596	556.6148617
597	566.8994336
598	566.8994336
599	593.7438624
600	593.7438624
601	559.0666038
602	559.0666038
603	562.9734675
604	562.9734675
605	580.4104449
606	580.4104449
607	578.2462886
608	578.2462886
609	571.4592529
610	571.4592529
611	569.8965046
612	569.8965046
613	561.0279978
614	561.0279978
615	547.5784109
616	547.5784109
617	536.0463499
618	536.0463499
619	564.3752664
620	564.3752664
621	552.1367242
622	552.1367242
623	544.3930064
624	544.3930064
625	551.7656357
626	551.7656357
627	606.9835403
628	606.9835403
629	568.4599541
630	568.4599541
631	586.4017626
632	586.4017626
633	559.1923792
634	559.1923792
635	572.8242873
636	572.8242873
637	585.8856051
